ID,scenario,rxpackage,inc_fire,cpu,cumsum_carb,total_carbon_grow,total_carbon_max,cumsum_fire,biosum_cond_id,biosum_plot_id,fortypcd,acres,owngrpcd,lat,lon,elev,MEANING,CEC_type,TargetType
138,10MM,020,with fire,20.109598321518426,640817.1520061939,-186.80104547204868,2446.94874115775,640817.1520061939,12010060510093005e8,12010060510093005e7,221,1911.998161114099,10,41.792,-122.7,3700,Ponderosa pine,Pine,1
182,10MM,040,with fire,20.14501304387011,659191.1679571456,-7851.22589206545,18374.015950951776,659191.1679571456,1201106060106301e9,1201106060106301e8,261,2992.4607315499234,10,40.385,-121.1,5700,White fir,True fir,1
2053,10MM,040,with fire,20.44208828531767,683003.0467072753,-3133.605745999186,23811.878750129683,683003.0467072753,12016060606017009e8,12016060606017009e7,371,6711.356147502641,10,38.706,-120.3,5900,California mixed conifer,Mixed conifer,1
2170,10MM,010,with fire,20.560032148676196,697512.508437279,-316.39778117687604,14509.461730003806,697512.508437279,1201706060706301e9,1201706060706301e8,371,6140.529974145584,10,39.887,-120.3,5900,California mixed conifer,Mixed conifer,1
1721,10MM,010,with fire,20.608941167248897,712057.5332362056,-934.9750909289206,14545.024798926488,712057.5332362056,12012060602003008e8,12012060602003009e7,185,3431.761026236937,10,38.732,-119.6,6700,Pinyon / juniper woodland,Other conifer,0
253,10MM,030,with fire,20.91657407931312,729508.2706092371,-1355.096709266758,17450.73737303155,729508.2706092371,12012060602093008e8,12012060602093007e7,371,5673.45475720812,10,41.79,-122.6,2900,California mixed conifer,Mixed conifer,1
53,10MM,010,with fire,21.80865933777956,745485.4514520208,-2535.615000952663,15977.180842783715,745485.4514520208,12009060509003006e8,12009060509003006e7,270,5968.067428265848,10,38.643,-120,8900,Mountain hemlock,Other conifer,0
1622,10MM,040,with fire,22.720896390392152,768229.9970959142,-4172.130915975772,22744.545643893358,768229.9970959142,12010060510091007e8,12010060510091007e7,261,1721.6072499932911,10,39.477,-120.3,7300,White fir,True fir,1
2076,10MM,700,with fire,23.231508761284584,793384.4947241943,3457.7399274584077,25154.49762828007,793384.4947241943,12016060606057006e8,12016060606057006e7,371,5628.201936323041,10,39.348,-120.6,5900,California mixed conifer,Mixed conifer,1
181,10MM,030,with fire,23.590580922558892,808530.0352350324,-4165.411758962979,15145.540510838118,808530.0352350324,1201106060106301e9,1201106060106301e8,281,4862.393276053945,10,40.352,-121.4,5500,Lodgepole pine,Other conifer,0
428,10MM,040,with fire,23.905371726967164,838257.5281038932,-4715.727021654838,29727.492868860805,838257.5281038932,1201506060509301e9,1201506060509301e8,371,5673.45475720812,10,41.245,-122.3,4700,California mixed conifer,Mixed conifer,1
1532,10MM,010,with fire,24.247127305614715,847621.4054877595,-214.8872381879939,9363.877383866284,847621.4054877595,1200906050906301e9,1200906050906301e8,371,5256.77710883828,10,39.884,-120.3,7300,California mixed conifer,Mixed conifer,1
1860,10MM,040,with fire,25.121051337358896,865238.709567345,-3301.9373095810965,17617.304079585487,865238.709567345,12013060603091006e8,12013060603091006e7,371,4739.731171383046,10,39.554,-120.9,4500,California mixed conifer,Mixed conifer,1
11,10MM,040,with fire,25.570104081330808,879309.4556264749,-1652.6513238284963,14070.746059129917,879309.4556264749,12009060509021006e8,12009060509021006e7,922,5730.615980848355,10,39.587,-122.7,3700,California black oak,Hardwood,0
1162,10MM,040,with fire,25.612198634197675,891012.2898052939,-1570.98562268135,11702.834178818986,891012.2898052939,1201706060709301e9,1201706060709301e8,368,5730.615980848355,10,41.992,-123.4,5500,Miscellaneous western softwoods,Other conifer,0
1915,10MM,010,with fire,25.928193833892056,902646.9102339655,-670.8893587560389,11634.62042867162,902646.9102339655,12014060604051007e8,12014060604051007e7,281,6068.68843486702,10,37.785,-118.9,7900,Lodgepole pine,Other conifer,0
392,10MM,020,with fire,26.142022464284153,916599.9645177023,-1773.105114939106,13953.054283736816,916599.9645177023,1201406060410501e9,1201406060410501e8,371,4001.328110619613,10,40.309,-123,5100,California mixed conifer,Mixed conifer,1
1933,10MM,040,with fire,26.21387803230443,931587.0249119782,-1025.6089528705998,14987.060394275808,931587.0249119782,12014060604063006e8,12014060604063006e7,371,5730.615980848355,10,40.243,-120.5,6100,California mixed conifer,Mixed conifer,1
2064,10MM,040,with fire,26.572833093001343,955774.2947201015,-4336.113313937689,24187.26980812342,955774.2947201015,12016060606035006e8,12016060606035007e7,371,6730.983695960061,10,40.171,-120.4,5900,California mixed conifer,Mixed conifer,1
1856,10MM,700,with fire,26.680965940425885,971211.701847974,1258.5403278585843,15437.407127872395,971211.701847974,1201306060306301e9,12013060603063008e7,225,5820.212611286389,10,40.084,-120.3,5700,Jeffrey pine,Pine,1
164,10MM,700,with fire,27.343661550170744,988853.2425716063,8765.325995955927,17641.540723632417,988853.2425716063,12010060510105009e8,12010060510105008e7,371,5730.615980848355,10,41.289,-122.5,5900,California mixed conifer,Mixed conifer,1
1732,10MM,040,with fire,27.53731437286754,1006813.0996092492,203.4469484136199,17959.857037642763,1006813.0996092492,12012060602017008e8,12012060602017008e7,261,6027.860191734093,10,38.797,-120.2,6700,White fir,True fir,1
506,10MM,040,with fire,28.4648797255798,1011985.2767213262,-945.5729588177329,5172.177112077075,1011985.2767213262,12017060207015008e8,12017060207015008e7,961,2513.1404044833635,10,41.982,-123.6,3100,Pacific madrone,Hardwood,0
1772,10MM,700,with fire,28.898905712877706,1030567.9857035736,3527.833759365033,18582.70898224738,1030567.9857035736,12012060602063007e8,12012060602063007e7,922,6027.860191734093,10,39.997,-120.8,4500,California black oak,Hardwood,0
1543,10MM,010,with fire,31.163281290713588,1040778.1466820625,-451.7927664747678,10210.160978488942,1040778.1466820625,12009060509091008e8,12009060509091008e7,262,5138.7230253281705,10,39.591,-120.4,6700,Red fir,True fir,1
2004,10MM,030,with fire,32.04951099608263,1059914.1233852943,-3928.1055079554976,19135.976703231932,1059914.1233852943,12015060605063006e8,12015060605063006e7,371,5673.45475720812,10,39.864,-120.8,5100,California mixed conifer,Mixed conifer,1
2098,10MM,040,with fire,32.86830930334053,1073720.8223829798,-2428.098689882293,13806.698997685353,1073720.8223829798,12016060606071007e8,12016060606071008e7,933,6140.529974145584,10,34.286,-117.1,4500,Canyon live oak,Hardwood,0
1334,10MM,010,with fire,33.12632392531746,1075255.9974006743,-154.62819104175105,1535.1750176945707,1075255.9974006743,12013060603035005e8,12013060603035006e7,371,2265.8475019617263,10,40.547,-121,5700,California mixed conifer,Mixed conifer,1
2036,10MM,040,with fire,34.535698132601944,1083760.9449604505,-946.3233140271935,8504.947559776108,1083760.9449604505,12015060605109007e8,12015060605109007e7,371,5268.738066866001,10,38.206,-120,4500,California mixed conifer,Mixed conifer,1
1929,10MM,040,with fire,34.73570871101123,1113411.1376125168,-8397.534020643703,29650.19265206636,1113411.1376125168,12014060604063006e8,12014060604063006e7,371,7156.4520922892025,10,39.781,-120.9,5300,California mixed conifer,Mixed conifer,1
1765,10MM,010,with fire,34.79034297581662,1124235.4082737854,-1666.513248958645,10824.27066126866,1124235.4082737854,1201206060206101e9,1201206060206101e8,921,6027.860191734093,10,39.011,-120.7,1700,Gray pine,Hardwood,0
1672,10MM,020,with fire,34.84781786295163,1128627.658434265,-683.2447964474703,4392.250160479627,1128627.658434265,12011060601051006e8,12011060601051006e7,901,2203.503265752066,10,38.031,-119.1,7500,Aspen,Hardwood,0
514,10MM,040,with fire,37.77060231403982,1136599.319182336,-8194.59743684725,7971.6607480710145,1136599.319182336,12017060607009007e8,12017060607009007e7,371,3040.5383652182322,10,37.906,-120.5,5700,California mixed conifer,Mixed conifer,1
375,10MM,030,with fire,38.16136315234033,1141725.5308209546,1292.1057088981904,5126.2116386184725,1141725.5308209546,12014060604093009e8,12014060604093009e7,371,5730.615980848355,10,41.894,-123.1,2500,California mixed conifer,Mixed conifer,1
1239,10MM,700,with fire,38.90593156111345,1165534.6357461682,7732.7204991126055,23809.1049252135,1165534.6357461682,12009060509093007e8,12009060509093007e7,371,5628.201936323041,10,41.56,-122.1,5900,California mixed conifer,Mixed conifer,1
141,10MM,040,with fire,38.940837136101344,1180380.5575858273,-3852.897681872359,14845.921839659093,1180380.5575858273,12010060510093008e8,12010060510093008e7,941,6027.860191734093,10,41.252,-123.3,2100,Tanoak,Hardwood,0
2102,10MM,020,with fire,39.352527155344156,1187063.5662076594,-39.989550728399124,6683.008621832347,1187063.5662076594,12016060606091006e8,12016060606091006e7,225,7356.611958023019,10,39.523,-120,6900,Jeffrey pine,Pine,1
483,10MM,030,with fire,39.56025940737679,1194464.1149450475,-112.69391630867052,7400.548737388078,1194464.1149450475,12016060606093008e8,1201606060609301e8,371,5673.45475720812,10,41.738,-122.7,4900,California mixed conifer,Mixed conifer,1
404,10MM,040,with fire,39.590860215448004,1205827.1956674505,-5027.139725003043,11363.080722402838,1205827.1956674505,12015060605035009e8,1201506060503501e8,281,6027.860191734093,10,40.493,-121.1,6300,Lodgepole pine,Other conifer,0
2103,10MM,040,with fire,39.9209658163601,1214134.040449702,-426.2614516584488,8306.844782251588,1214134.040449702,12016060606091007e8,12016060606091006e7,371,5081.208722360566,10,39.646,-120.5,7500,California mixed conifer,Mixed conifer,1
277,10MM,030,with fire,40.34300807599614,1233699.4604050375,-5247.611352449676,19565.41995533544,1233699.4604050375,12013060603033006e8,12013060603033006e7,371,5021.423600138468,10,39.565,-122.8,5300,California mixed conifer,Mixed conifer,1
1696,10MM,040,with fire,41.14881315975592,1253476.8308090793,-6245.30037539673,19777.37040404179,1253476.8308090793,12011060601063008e8,12011060601063008e7,371,5673.45475720812,10,39.747,-121,5700,California mixed conifer,Mixed conifer,1
