FID,Join_Count,TARGET_FID,biosum_con,ID,biosum_plo,lat,lon,Id_1,gridcode,prob
1310,1,1310,1.20121E+24,1311,1.20121E+23,41.263043,-122.800061,20981,2477,0.2477
1311,1,1311,1.20121E+24,1312,1.20121E+23,41.749465,-122.856503,6723,2673,0.2673
1312,1,1312,1.20121E+24,1313,1.20121E+23,41.347874,-123.454825,17643,5112,0.5112
1313,1,1313,1.20121E+24,1314,1.20121E+23,41.533893,-121.573023,13598,1143,0.1143
1314,1,1314,1.20121E+24,1315,1.20121E+23,41.344798,-121.823227,18947,3252,0.3252
1315,1,1315,1.20121E+24,1316,1.20121E+23,41.94002,-122.744247,1437,3238,0.3238
1316,1,1316,1.20121E+24,1317,1.20121E+23,41.845782,-123.542779,3459,5771,0.5771
1317,1,1317,1.20121E+24,1318,1.20121E+23,41.738907,-123.342409,6420,4920,0.492
1318,1,1318,1.20121E+24,1319,1.20121E+23,41.312858,-122.159471,19828,6187,0.6187
1319,1,1319,1.20121E+24,1320,1.20121E+23,41.24569,-121.670408,22283,2240,0.224
1320,0,1320,1.20121E+24,1321,1.20121E+23,41.649782,-122.20176,0,0,0
1321,1,1321,1.20121E+24,1322,1.20121E+23,41.219867,-123.078575,21871,5912,0.5912
1322,1,1322,1.20121E+24,1323,1.20121E+23,41.939059,-123.059973,1412,4916,0.4916
1323,1,1323,1.20121E+24,1324,1.20121E+23,41.539159,-123.472106,12304,5707,0.5707
1324,1,1324,1.20121E+24,1325,1.20121E+23,41.492479,-121.824703,14717,4919,0.4919
1325,1,1325,1.20121E+24,1326,1.20121E+23,41.716358,-123.194675,7238,4247,0.4247
1326,1,1326,1.20121E+24,1327,1.20121E+23,41.623203,-122.711666,10374,2500,0.25
1327,1,1327,1.20121E+24,1328,1.20121E+23,41.790419,-122.687266,5639,3440,0.344
1328,1,1328,1.20121E+24,1329,1.20121E+23,41.482037,-122.658069,14653,3151,0.3151
1329,1,1329,1.20121E+24,1330,1.20121E+23,41.897096,-123.353715,2172,5890,0.589
1330,1,1330,1.20121E+24,1331,1.20121E+23,41.741681,-123.012068,6711,6777,0.6777
1331,1,1331,1.20121E+24,1332,1.20121E+23,41.396491,-123.597719,16224,3442,0.3442
1332,1,1332,1.20121E+24,1333,1.20121E+23,41.187923,-121.831418,23767,628,0.0628
1333,1,1333,1.20121E+24,1334,1.20121E+23,41.7797,-122.217682,6226,2354,0.2354
1334,1,1334,1.20121E+24,1335,1.20121E+23,41.538544,-121.694637,13296,3275,0.3275
1335,1,1335,1.20121E+24,1336,1.20121E+23,41.357151,-121.989463,18640,3012,0.3012
1336,1,1336,1.20121E+24,1337,1.20121E+23,41.545576,-123.669109,11728,1455,0.1455
1337,1,1337,1.20121E+24,1338,1.20121E+23,41.887331,-122.877191,2739,4364,0.4364
1338,1,1338,1.20121E+24,1339,1.20121E+23,41.638242,-121.708882,10448,2953,0.2953
1339,1,1339,1.20121E+24,1340,1.20121E+23,38.360983,-122.532864,101631,4109,0.4109
1340,1,1340,1.20121E+24,1341,1.20121E+23,38.741963,-123.373721,91193,4278,0.4278
1341,1,1341,1.20121E+24,1342,1.20121E+23,38.496335,-123.03033,97857,5741,0.5741
1342,1,1342,1.20121E+24,1343,1.20121E+23,38.674063,-122.896611,93333,5143,0.5143
1343,1,1343,1.20121E+24,1344,1.20121E+23,40.253098,-121.540619,53867,2463,0.2463
1344,1,1344,1.20121E+24,1345,1.20121E+23,39.8213,-122.749007,65991,4224,0.4224
1345,1,1345,1.20121E+24,1346,1.20121E+23,40.11759,-121.510112,57995,1946,0.1946
1346,1,1346,1.20121E+24,1347,1.20121E+23,40.002204,-122.757496,60609,4480,0.448
1347,1,1347,1.20121E+24,1348,1.20121E+23,40.404872,-121.753769,48869,2560,0.256
1348,1,1348,1.20121E+24,1349,1.20121E+23,40.404872,-121.753769,48869,2560,0.256
1349,1,1349,1.20121E+24,1350,1.20121E+23,39.949474,-122.901684,62050,5574,0.5574
1350,1,1350,1.20121E+24,1351,1.20121E+23,40.954744,-122.752587,30307,2728,0.2728
1351,1,1351,1.20121E+24,1352,1.20121E+23,40.600353,-123.464013,40899,3510,0.351
1352,1,1352,1.20121E+24,1353,1.20121E+23,40.288391,-123.109412,51655,5205,0.5205
1353,1,1353,1.20121E+24,1354,1.20121E+23,40.430571,-123.454803,46769,5238,0.5238
1354,1,1354,1.20121E+24,1355,1.20121E+23,40.553301,-123.326539,42484,6736,0.6736
1355,1,1355,1.20121E+24,1356,1.20121E+23,40.90354,-123.524213,31450,4912,0.4912
1356,1,1356,1.20121E+24,1357,1.20121E+23,41.12868,-122.458358,25249,1796,0.1796
1357,1,1357,1.20121E+24,1358,1.20121E+23,40.596851,-123.020081,41551,3438,0.3438
1358,1,1358,1.20121E+24,1359,1.20121E+23,40.401077,-123.312733,47762,6366,0.6366
1359,1,1359,1.20121E+24,1360,1.20121E+23,40.053175,-123.262925,58769,4487,0.4487
1360,1,1360,1.20121E+24,1361,1.20121E+23,40.233065,-123.252935,53157,4834,0.4834
1361,1,1361,1.20121E+24,1362,1.20121E+23,40.80582,-122.871545,34738,3290,0.329
1362,1,1362,1.20121E+24,1363,1.20121E+23,40.111593,-123.414322,56661,3962,0.3962
1363,1,1363,1.20121E+24,1364,1.20121E+23,40.111593,-123.414322,56661,3962,0.3962
1364,1,1364,1.20121E+24,1365,1.20121E+23,40.60676,-123.138796,40925,6075,0.6075
1365,1,1365,1.20121E+24,1366,1.20121E+23,40.759569,-123.002881,36270,3284,0.3284
1366,1,1366,1.20121E+24,1367,1.20121E+23,41.144646,-122.605848,24627,1765,0.1765
1367,1,1367,1.20121E+24,1368,1.20121E+23,40.783571,-122.685255,35684,2672,0.2672
1368,1,1368,1.20121E+24,1369,1.20121E+23,35.892963,-118.382018,175298,3765,0.3765
1369,1,1369,1.20121E+24,1370,1.20121E+23,35.834682,-118.55148,177534,6226,0.6226
1370,1,1370,1.20121E+24,1371,1.20121E+23,36.170176,-118.29367,165435,1244,0.1244
1371,1,1371,1.20121E+24,1372,1.20121E+23,36.018978,-118.290745,170557,1803,0.1803
1372,1,1372,1.20121E+24,1373,1.20121E+23,38.246575,-120.076217,105175,4643,0.4643
1373,1,1373,1.20121E+24,1374,1.20121E+23,38.339006,-119.852093,103036,3987,0.3987
1374,1,1374,1.20121E+24,1375,1.20121E+23,38.101364,-120.07007,108768,5149,0.5149
1375,1,1375,1.20121E+24,1376,1.20121E+23,38.191242,-120.230373,106625,12978,1.2978
1376,1,1376,1.20121E+24,1377,1.20121E+23,38.02741,-120.190549,110532,4832,0.4832
1377,1,1377,1.20121E+24,1378,1.20121E+23,37.929555,-120.029975,112980,7510,0.751
1378,1,1378,1.20121E+24,1379,1.20121E+23,39.477914,-121.113061,75330,1260,0.126
1379,1,1379,1.20121E+24,1380,1.20121E+23,39.477914,-121.113061,75330,1260,0.126
1380,1,1380,1.20121E+24,1381,1.20121E+23,39.421473,-121.272303,76749,4075,0.4075
1381,1,1381,1.20131E+24,1382,1.20131E+23,41.9607,-123.723146,501,3246,0.3246
1382,1,1382,1.20131E+24,1383,1.20131E+23,38.640437,-119.766545,95268,3041,0.3041
1383,1,1383,1.20131E+24,1384,1.20131E+23,38.688036,-119.64754,94041,1745,0.1745
1384,1,1384,1.20131E+24,1385,1.20131E+23,38.589741,-119.70063,96546,3829,0.3829
1385,1,1385,1.20131E+24,1386,1.20131E+23,38.456904,-120.509797,99732,3166,0.3166
1386,1,1386,1.20131E+24,1387,1.20131E+23,39.962426,-121.465436,62706,1911,0.1911
1387,1,1387,1.20131E+24,1388,1.20131E+23,39.679137,-121.596398,70322,8101,0.8101
1388,1,1388,1.20131E+24,1389,1.20131E+23,39.70889,-121.283569,69622,9337,0.9337
1389,1,1389,1.20131E+24,1390,1.20131E+23,39.55808,-121.233288,73408,3991,0.3991
1390,1,1390,1.20131E+24,1391,1.20131E+23,38.367796,-120.37853,102241,3125,0.3125
1391,1,1391,1.20131E+24,1392,1.20131E+23,38.480499,-120.240408,99252,10129,1.0129
1392,1,1392,1.20131E+24,1393,1.20131E+23,38.408014,-120.368797,101002,3178,0.3178
1393,1,1393,1.20131E+24,1394,1.20131E+23,38.408014,-120.368797,101002,3178,0.3178
1394,1,1394,1.20131E+24,1395,1.20131E+23,38.2598,-120.347279,104920,3880,0.388
1395,1,1395,1.20131E+24,1396,1.20131E+23,38.315097,-120.514672,103477,4337,0.4337
1396,1,1396,1.20131E+24,1397,1.20131E+23,39.227816,-122.623565,80713,8590,0.859
1397,1,1397,1.20131E+24,1398,1.20131E+23,39.227816,-122.623565,80713,8590,0.859
1398,0,1398,1.20131E+24,1399,1.20131E+23,41.570811,-124.09206,0,0,0
1399,1,1399,1.20131E+24,1400,1.20131E+23,41.918418,-124.071302,1086,437,0.0437
1400,1,1400,1.20131E+24,1401,1.20131E+23,41.43502,-123.728287,15125,964,0.0964
1401,1,1401,1.20131E+24,1402,1.20131E+23,38.761161,-120.850237,92022,4207,0.4207
1402,1,1402,1.20131E+24,1403,1.20131E+23,38.612335,-120.564384,95706,6277,0.6277
1403,1,1403,1.20131E+24,1404,1.20131E+23,38.605369,-120.371609,95979,6669,0.6669
1404,1,1404,1.20131E+24,1405,1.20131E+23,38.572645,-120.680066,96722,3124,0.3124
1405,1,1405,1.20131E+24,1406,1.20131E+23,38.797378,-120.103991,91153,4889,0.4889
1406,1,1406,1.20131E+24,1407,1.20131E+23,38.798608,-120.53128,91119,1741,0.1741
1407,1,1407,1.20131E+24,1408,1.20131E+23,38.657584,-120.2476,94733,3510,0.351
1408,1,1408,1.20131E+24,1409,1.20131E+23,38.758041,-120.42877,92055,10053,1.0053
1409,1,1409,1.20131E+24,1410,1.20131E+23,36.895606,-119.029726,142752,11111,1.1111
1410,1,1410,1.20131E+24,1411,1.20131E+23,37.082351,-119.223445,137562,6129,0.6129
1411,1,1411,1.20131E+24,1412,1.20131E+23,37.047479,-119.042013,138421,2494,0.2494
1412,1,1412,1.20131E+24,1413,1.20131E+23,39.562255,-122.658364,72652,3557,0.3557
1413,1,1413,1.20131E+24,1414,1.20131E+23,39.740994,-122.855004,68015,3753,0.3753
1414,1,1414,1.20131E+24,1415,1.20131E+23,40.773608,-123.965495,34964,1867,0.1867
1415,1,1415,1.20131E+24,1416,1.20131E+23,41.396732,-123.905702,15923,979,0.0979
1416,1,1416,1.20131E+24,1417,1.20131E+23,41.301678,-123.725918,18800,1802,0.1802
1417,1,1417,1.20131E+24,1418,1.20131E+23,41.235015,-123.921902,20593,445,0.0445
1418,1,1418,1.20131E+24,1419,1.20131E+23,41.135224,-123.70249,23928,3104,0.3104
1419,1,1419,1.20131E+24,1420,1.20131E+23,41.135224,-123.70249,23928,3104,0.3104
1420,1,1420,1.20131E+24,1421,1.20131E+23,40.283274,-124.200734,50610,1267,0.1267
1421,1,1421,1.20131E+24,1422,1.20131E+23,40.955385,-123.650803,29619,4167,0.4167
1422,1,1422,1.20131E+24,1423,1.20131E+23,41.109994,-123.544244,24861,3113,0.3113
1423,1,1423,1.20131E+24,1424,1.20131E+23,40.457763,-123.898928,45065,1071,0.1071
1424,1,1424,1.20131E+24,1425,1.20131E+23,40.408523,-124.059072,46723,959,0.0959
1425,1,1425,1.20131E+24,1426,1.20131E+23,41.259718,-123.539495,20322,8168,0.8168
